daily_deaths,total_cases,total_deaths
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,5,0
0,5,0
0,5,0
0,5,0
0,6,0
0,6,0
0,9,0
0,9,0
0,9,0
0,9,0
0,10,0
0,11,0
0,12,0
0,12,0
0,15,0
0,15,0
0,15,0
0,16,0
0,16,0
0,16,0
0,16,0
0,16,0
0,17,0
0,17,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,38,0
0,39,0
0,39,0
0,57,0
0,57,0
0,63,0
0,63,0
0,66,0
0,66,0
0,66,0
0,68,0
2,112,2
3,133,5
4,133,9
2,217,11
0,217,11
0,217,11
8,476,19
6,700,25
0,700,25
4,991,29
7,1268,36
5,1682,41
0,1718,41
0,1718,41
17,3540,58
42,7091,100
50,10442,150
51,15219,201
0,15219,201
0,15219,201
201,31573,402
271,51914,673
0,51914,673
318,68334,991
0,68334,991
252,85228,1243
425,103321,1668
444,122653,2112
286,140640,2398
452,163199,2850
996,187302,3846
947,213600,4793
1061,241703,5854
1166,273808,7020
1338,307318,8358
1201,333811,9559
1286,363321,10845
1895,395030,12740
1925,425889,14665
1931,461275,16596
1920,492881,18516
1928,524514,20444
1528,553822,21972
1504,578268,23476
2395,604070,25871
6409,632781,32280
2018,665330,34298
2438,695353,36736
1776,723605,38512
1801,751273,40313
2154,776907,42467
2575,800926,45042
2390,830053,47432
1742,860772,49174
2151,899281,51325
1964,931698,53289
1109,960916,54398
1322,983457,55720
2010,1003974,57730
2902,1035353,60632
2005,1067127,62637
5000,1093880,67637
156,1125719,67793
-514,1154985,67279
802,1171185,68081
2475,1193452,70556
1968,1215571,72524
2840,1245775,75364
1552,1271645,76916
1736,1298287,78652
982,1322054,79634
1061,1340098,80695
1424,1361522,82119
1700,1382362,83819
2041,1409452,85860
1320,1432265,87180
1394,1464232,88574
697,1477459,89271
932,1501876,90203
1324,1525186,91527
1396,1547973,92923
1088,1568448,94011
1852,1592599,95863
1046,1618757,96909
620,1634010,97529
590,1658896,98119
